date,confirmed,deaths
2022-01-06,2831,34
2022-01-07,2917,30
2022-01-08,3558,23
2022-01-09,2233,8
2022-01-10,919,12
2022-01-11,4359,36
2022-01-12,4585,44
2022-01-13,5876,53
2022-01-14,8472,100
2022-01-15,744,90
2022-01-16,2371,22
2022-01-17,1330,12
2022-01-18,11409,117
2022-01-19,10266,139
2022-01-20,10545,168
2022-01-21,11159,145
2022-01-22,12617,124
2022-01-23,5148,59
2022-01-24,2709,58
2022-01-25,13217,227
2022-01-26,13184,172
2022-01-27,17021,259
2022-01-28,14896,285
2022-01-29,14343,323
2022-01-30,7746,37
2022-01-31,2609,100
2022-02-01,17130,206
2022-02-02,1096,363
2022-02-03,37611,349
2022-02-04,18535,370
2022-02-05,17066,294
2022-02-06,5351,53
2022-02-07,3585,26
2022-02-08,15696,445
2022-02-09,17464,482
2022-02-10,19046,297
2022-02-11,20598,317
2022-02-12,15964,285
2022-02-13,6813,48
2022-02-14,4146,28
2022-02-15,15677,251
2022-02-16,17801,397
2022-02-17,15995,352
2022-02-18,14809,280
2022-02-19,16249,337
2022-02-20,6424,26
2022-02-21,2470,23
2022-02-22,15999,310
2022-02-23,15427,298
2022-02-24,15228,303
2022-02-25,14764,211
2022-02-26,11290,211
2022-02-27,4865,7
2022-02-28,1639,9
2022-03-01,2959,81
2022-03-02,2978,29
2022-03-03,10193,193
2022-03-04,11868,198
2022-03-05,12143,242
2022-03-06,3483,13
2022-03-07,1184,7
2022-03-08,12404,189
2022-03-09,13105,183
2022-03-10,12775,211
2022-03-11,12183,103
2022-03-12,10967,105
2022-03-13,5043,7
2022-03-14,1306,26
2022-03-15,11965,63
2022-03-16,8815,139
2022-03-17,9026,125
2022-03-18,9565,104
2022-03-19,7651,101
2022-03-20,5299,7
2022-03-21,1472,10
2022-03-22,9782,78
2022-03-23,9364,97
2022-03-24,8953,112
2022-03-25,9300,91
2022-03-26,7177,61
2022-03-27,3961,3
